In Order IPC,L1D Cache Refil Value,Inst Retire,Branch Retire,Out of Order IPC (Actual),Out of Order IPC (Predicted)
0.8722194750617576,49299364.0,2304058624.0,13203766666.0,2.6819687869890747,2.736706934096154
0.7649362633464188,169117079.0,3903427456.0,20966213895.0,2.953893899797892,2.954448425034743
0.8736223517616217,20547591.0,1058831501.0,6035879627.0,2.7922736895444427,2.7251051978328844
0.9177420355727993,29956340.0,1703449612.0,9733494863.0,2.8674987088844643,2.794383526988792
0.8854715753725118,62683441.0,3229902918.0,18191495437.0,2.8033775371485996,2.7318327662599264
0.519987699615628,136191697.0,4931420482.0,27161886973.0,1.9309734462685177,1.934759327042122
0.8648108521777171,61448574.0,2883176039.0,15997712826.0,2.7368008431322335,2.7526431403011875
0.7957418418556588,151193190.0,4021652823.0,22155735236.0,2.931268581668091,2.9272185423079824
0.513675684149979,132036558.0,4804380956.0,26427510872.0,1.932436969553277,1.9431836256728428
0.9418891573439357,6415630.0,399553841.0,2311983116.0,2.8706013294142503,2.7511213514494415
0.8967862505028584,16416316.0,911019424.0,5139031008.0,2.8128343720457676,2.8023689389832445
0.9055046286992714,26778344.0,1493972833.0,8608894540.0,2.75265844731816,2.786405902337304
0.9049991252521511,12798243.0,627486584.0,3597574761.0,2.8370935526633763,2.796622226110225
0.8084814938095749,128590081.0,3758790914.0,20357866420.0,2.944782281041062,2.947486556740923
0.8083407884405395,137914956.0,3974397639.0,21531711442.0,3.02783153571892,2.9488153095733263
0.6038223447785949,145103035.0,5812589738.0,30387351236.0,2.0172627131937637,1.942597073049165
0.8714984843652713,16856972.0,885900438.0,5034753217.0,2.811674516160075,2.745278037996205
0.5156082444513514,135035291.0,4885591399.0,26852879895.0,1.930235626104451,1.9320128921099176
0.8527307197676394,8927629.0,390002617.0,2193887191.0,2.627907699548433,2.7128510181665364
0.7618268674562921,190945650.0,4342219773.0,23301607331.0,2.926460638079381,2.931500081752851
0.8574871541911052,51005608.0,2260523115.0,12946456949.0,2.669055442631957,2.735760615324799
0.908197720365014,51325229.0,3120637213.0,18048901783.0,2.7361324898487496,2.765747112017629
0.7917758374809274,162383449.0,4202866689.0,23161146694.0,2.9355342243356426,2.9444354563684993
0.7648874479066986,172163096.0,3940742117.0,21132218429.0,3.032583355214875,2.9536907180095726
0.8823478533915442,42991968.0,2217465270.0,12755831285.0,2.7370868486181794,2.7310188671407545
0.588257448168019,8408579.0,166524640.0,785519247.0,1.8116322120925987,1.9849328354742464
0.8936664365203668,35457797.0,2035677742.0,11718133837.0,2.6865418288001783,2.797591633850786
0.9042350761300221,24494606.0,1437658477.0,8155735147.0,2.725185370032091,2.7855009222328686
0.8784594319232559,67719672.0,3192101581.0,17959671827.0,2.7776545413273865,2.74947711751833
